sex,dispersal
female,0
female,0
female,0
female,0
female,0
male,0
female,2
female,0
female,0
male,0
female,2
female,0
male,0
female,0
male,0
male,0
female,0
male,0
male,0
male,0
female,1
female,0
female,0
female,0
male,0
female,1
female,0
male,1
male,0
female,0
female,0
female,0
male,0
female,0
male,0
female,0
female,0
female,0
female,0
male,0
male,0
male,0
male,0
male,0
male,0
female,0
male,0
male,0
male,0
female,0
male,0
female,0
male,0
female,0
female,0
female,0
female,0
female,0
female,0
female,0
male,0
male,1
female,0
male,0
female,0
male,0
female,0
male,0
female,0
female,0
male,0
female,0
female,1
female,0
female,0
female,0
male,0
male,0
male,1
male,0
female,1
female,0
male,0
male,0
male,0
male,0
female,0
male,0
female,0
male,1
female,0
female,0
female,0
male,0
female,0
female,0
female,1
female,1
male,0
male,0
female,0
female,0
male,0
female,0
female,0
male,0
female,0
female,1
female,0
female,0
female,0
female,0
male,1
male,0
female,0
female,0
female,0
female,0
male,0
female,0
female,0
male,0
female,0
female,0
female,0
female,1
female,0
female,0
male,1
female,1
male,1
female,0
male,0
male,1
female,0
male,0
female,0
female,1
female,0
female,1
female,1
male,0
female,0
female,0
male,0
